StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q_BallotBoxStuffing,QID1219594129,q1,q2_orig,q3,q4,q5,q6_orig,q7,q8_orig,q9_orig,q10_orig,cc1,cc2,c11,c12,c13,c14,c15,picture,tc1,tc2,coa1,coa2,anthem,t11,t12,t13,t14,t15,check,age,gndr,nationality,educ,lrscale_1,psychback,SC0,group
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_DuplicateRespondent,Q_BallotBoxStuffing,"Welcome to the research study!  

 

I am interested in understanding relationship between personality and national identity. You will be presented with information relevant to this topic and asked to answer some questions about it. This study is a part of a Master's Thesis project within Leiden University. Please be assured that your responses will be kept completely confidential and are absolutely anonymous.  


The study should take you around 8 minutes to complete. Your participation in this research is voluntary. You have the right to withdraw at any point during the study, for any reason, and without any prejudice. To do that just close the tab in your browser, your answer will be deleted within 1 hour. At the end of the study the full debrief will be presented where you will learn more about the processes and concepts of interest for this study. If you would like to withdraw your answers after learning this information, you are free to do so. If you would like to contact me to discuss this research, please e-mail Danylo Skotsyk at d.skotsyk@umail.leidenuniv.nl. 


By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.


Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device.","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experiences, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative",Which plain has characteristically darker earth?,What is the name of the dark-coloured mineral in the text?,to have been born in the country?,to be able to speak the national language(s)?,to have national ancestry?,to respect national institutions and laws?,to feel as a member of a nation?,Please choose an image that you like most,Where is Valoria located?,What was the name of the legendary figure that brought the first Valorians to the island?,"It was brought to the Valorian government's attention that the state does not have a coat of arms. It was decided that you should acquire one. Therefore, the national referendum was organised. What version do you prefer? 

(You are free to skip this question with no consequences if you so wish)","It was brought to the Valorian government's attention that the state does not have a coat of arms. It was decided that you should acquire one. Therefore, the national referendum was organised. What version do you prefer?

(You are free to skip this question with no consequences if you so wish)","In addition to the coat of arms, it was decided to update the national anthem. The first line is ""Long live the glorious Valoria"". How do you imagine the second line?

(You are free to skip this quesion with no consequences if you so wish)",to have been born in Valoria?,to be able to speak Valorian language?,to have Valorian ancestry?,to respect Valorian institutions and laws?,to feel Valorian?,While answering the previous questions were you thinking more as a member of your nationality or a Valorian?,What is your full age?,What is your gender?,What is your nationality?,What is the highest level of school you have completed or the highest degree you have received?,Here is a 7-point scale on which the political views that people might hold are arranged from extremely left (1) to  extremely right (7). Where would you place yourself on this scale? - Political Ideology,"Do you have any background in social/experimental psychology (e.g., major, minor, course in college, etc.)",Score,group
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID1219594129""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID35""}","{""ImportId"":""QID41""}","{""ImportId"":""QID40""}","{""ImportId"":""QID39""}","{""ImportId"":""QID38""}","{""ImportId"":""QID37""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID47""}","{""ImportId"":""SC_aXCqY12SVtVIJp4""}","{""ImportId"":""group""}"
2026-03-15 15:33:22,2026-03-15 15:38:26,IP Address,100,304,True,2026-03-15 15:38:27,R_8nSnFsqDYItIP2N,anonymous,EN-GB,,,"I consent, begin the study",Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Lava plain,Basalt,Important,Important,Very important,Very important,Very important,,,,,,,,,,,,,26,Male,Polish,Master's degree,4,Yes,90,control
2026-03-15 15:33:29,2026-03-15 15:40:01,IP Address,100,391,True,2026-03-15 15:40:01,R_2TUbrMGtgsc9MNt,anonymous,EN-GB,,,"I consent, begin the study",Agree a little,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Disagree moderately,Agree a little,Agree a little,Lava plain,Basalt,Neither important nor unimportant,Rather important,Rather unimportant,Rather important,Very important,,,,,,,,,,,,,20,Male,Romanian,High school graduate,5,Yes,74,control
2026-03-15 15:43:13,2026-03-15 15:51:46,IP Address,100,513,True,2026-03-15 15:51:47,R_2VZMxeImNPIsann,anonymous,EN-GB,,,"I consent, begin the study",Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree a little,,,,,,,,Image 2,North-West,Big Jaw,,IM_LfYJ2I8RzpCj2UT,Long live the King,Not at all important,Rather important,Not at all important,Rather important,Rather important,Mostly national,23,Male,Romanian,Bachelor's degree,4,No,77,treatment
2026-03-15 16:01:29,2026-03-15 16:04:47,IP Address,100,197,True,2026-03-15 16:04:47,R_2TCp2k8nIqKNhjr,anonymous,EN-GB,,,"I consent, begin the study",Agree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,Lava plain,Basalt,Rather important,Important,Rather important,Very important,Important,,,,,,,,,,,,,27,Male,Ukrainian,Bachelor's degree,3,Yes,84,control
2026-03-15 16:05:08,2026-03-15 16:09:41,IP Address,100,273,True,2026-03-15 16:09:42,R_81sCiWvfbALgyHX,anonymous,EN-GB,,,"I consent, begin the study",Disagree moderately,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,,,,,,,,Image 1,North-West,Big Jaw,IM_Rhf66LqVHE9E5Hv,,,Rather important,Very important,Important,Neither important nor unimportant,Very important,Rather Valorian,20,Female,Dutch,High school graduate,3,No,80,treatment
2026-03-15 16:13:49,2026-03-15 16:18:53,IP Address,100,303,True,2026-03-15 16:18:53,R_2GUfMvCFGwqVxID,anonymous,EN-GB,,,"I consent, begin the study",Agree moderately,Agree a little,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Disagree a little,Lava plain,Basalt,Rather unimportant,Important,Rather important,Important,Very important,,,,,,,,,,,,,23,Female,Polish,Bachelor's degree,2,No,83,control
2026-03-15 19:48:17,2026-03-15 20:05:01,IP Address,100,1004,True,2026-03-15 20:05:02,R_8MXRD0qL9KWe1Cd,anonymous,EN-GB,,,"I consent, begin the study",Agree strongly,Agree moderately,Disagree moderately,Agree strongly,Agree strongly,Disagree moderately,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,,,,,,,,Image 2,North-West,Big Jaw,,IM_LfYJ2I8RzpCj2UT,From Merkdran to the sea it's the land of the free🤟,Rather important,Very important,Rather unimportant,Important,Very important,Neither national nor Valorian,21,Female,Ukrainian,Bachelor's degree,3,Yes,85,treatment
2026-03-15 20:27:00,2026-03-15 20:32:34,IP Address,100,334,True,2026-03-15 20:32:35,R_2zVRtFRnA0rMDWV,anonymous,EN-GB,,,"I consent, begin the study",Disagree a little,Agree a little,Agree moderately,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree moderately,Lava plain,Basalt,Unimportant,Important,Unimportant,Important,Rather important,,,,,,,,,,,,,21,Male,Estonian,Some college but no degree,4,No,66,control
